sqi	aae
ara	aao
sqi	aat
ara	abh
ara	abv
ara	acm
ara	acq
ara	acw
ara	acx
ara	acy
ara	adf
ara	aeb
ara	aec
ara	afb
syr	aii
ara	ajp
jrb	ajt
jrb	aju
sqi	aln
sqi	als
ara	apc
ara	apd
ara	arb
ara	arq
ara	ars
ara	ary
ara	arz
ara	auz
ara	avl
aym	ayc
ara	ayh
ara	ayl
ara	ayn
ara	ayp
aym	ayr
aze	azb
aze	azj
ara	bbz
bal	bcc
bik	bcl
gba	bdt
bal	bgn
bal	bgp
raj	bgq
bik	bhk
mlg	bhr
msa	bjn
mlg	bjq
bik	bln
hmn	blu
mlg	bmm
hbs	bos
msa	btj
bik	bto
msa	bve
msa	bvu
luy	bxk
bua	bxm
bua	bxr
bua	bxu
mlg	bzc
zha	ccx
zha	ccy
zho	cdo
oji	ciw
zho	cjy
kur	ckb
syr	cld
zho	cmn
msa	coa
zho	cpx
hmn	cqd
que	cqu
cre	crj
cre	crk
cre	crl
cre	crm
cre	csw
bik	cts
cre	cwd
zho	czh
zho	czo
doi	dgo
mwr	dhd
din	dib
din	dik
din	dip
zza	diq
din	diw
din	dks
nep	dty
msa	dup
bnc	ebk
est	ekk
man	emk
kln	enb
ipk	esi
ipk	esk
kln	eyo
aka	fat
bik	fbl
ful	ffm
ful	fub
ful	fuc
ful	fue
ful	fuf
ful	fuh
ful	fui
ful	fuq
ful	fuv
zho	gan
orm	gax
orm	gaz
grb	gbo
gba	gbp
gba	gbq
raj	gda
grb	gec
gon	ggo
raj	gju
kpe	gkp
gba	gmm
gon	gno
grn	gnw
kok	gom
grb	grj
grb	grv
grb	gry
gba	gso
grn	gug
grn	gui
grn	gun
gba	gya
orm	hae
zho	hak
hai	hax
hai	hdn
hmn	hea
msa	hji
hmn	hma
hmn	hmc
hmn	hmd
hmn	hme
hmn	hmg
hmn	hmh
hmn	hmi
hmn	hmj
hmn	hml
hmn	hmm
hmn	hmp
hmn	hmq
hmn	hms
hmn	hmw
hmn	hmy
hmn	hmz
lah	hnd
hmn	hnj
lah	hno
raj	hoj
hmn	hrm
hbs	hrv
zho	hsn
hmn	huj
luy	ida
iku	ike
iku	ikt
msa	ind
msa	jak
lah	jat
msa	jax
jrb	jye
kau	kby
mon	khk
zza	kiu
kur	kmr
kau	knc
kon	kng
kok	knn
kom	koi
kom	kpv
kau	krt
msa	kvb
msa	kvr
kon	kwy
msa	kxd
bnc	lbk
bik	lbl
msa	lce
msa	lcf
kon	ldi
msa	liw
luy	lkb
luy	lko
luy	lks
luy	lri
luy	lrm
luy	lsm
lav	ltg
luy	lto
luy	lts
lav	lvs
luy	lwg
zho	lzh
msa	max
gba	mdo
msa	meo
msa	mfa
msa	mfb
chm	mhr
msa	min
man	mku
man	mlq
msa	mly
hmn	mmr
man	mnk
zho	mnp
msa	mqg
chm	mrj
man	msc
mlg	msh
msa	msi
mwr	mtr
msa	mui
raj	mup
hmn	muq
mwr	mve
mon	mvf
man	mwk
hmn	mww
man	myq
zho	nan
grn	nhd
kln	niq
luy	nle
nor	nno
nor	nob
nep	npi
luy	nyd
bnc	obk
oji	ojb
oji	ojc
oji	ojg
oji	ojs
oji	ojw
kln	oki
orm	orc
msa	orn
msa	ors
ori	ory
oji	otw
pus	pbt
pus	pbu
msa	pel
fas	pes
ara	pga
lah	phr
kln	pko
mlg	plt
lah	pmu
lah	pnb
fas	prs
msa	pse
pus	pst
que	qub
que	qud
que	quf
que	qug
que	quh
que	quk
que	qul
que	qup
que	qur
que	qus
que	quw
que	qux
que	quy
que	quz
que	qva
que	qvc
que	qve
que	qvh
que	qvi
que	qvj
que	qvl
que	qvm
que	qvn
que	qvo
que	qvp
que	qvs
que	qvw
que	qvz
que	qwa
que	qwc
que	qwh
que	qws
que	qxa
que	qxc
que	qxh
que	qxl
que	qxn
que	qxo
que	qxp
que	qxr
que	qxt
que	qxu
que	qxw
luy	rag
bnc	rbk
bik	rbl
rom	rmc
rom	rmf
rom	rml
rom	rmn
rom	rmo
rom	rmw
rom	rmy
mwr	rwr
den	scs
srd	sdc
kur	sdh
srd	sdn
hmn	sfm
kln	sgc
ara	shu
mlg	skg
lah	skr
ori	spv
kln	spy
srd	src
srd	sro
hbs	srp
ara	ssh
swa	swc
swa	swh
mwr	swv
tmh	taq
mlg	tdx
kln	tec
tmh	thv
tmh	thz
mlg	tkg
msa	tmw
tmh	ttq
kln	tuy
aka	twi
mlg	txy
bik	ubl
del	umu
del	unm
msa	urk
uzb	uzn
uzb	uzs
bnc	vbk
msa	vkk
msa	vkt
est	vro
raj	wbr
mwr	wry
zho	wuu
lah	xhe
msa	xmm
mlg	xmv
mlg	xmw
doi	xnr
kpe	xpe
den	xsl
yid	ydd
jrb	yhd
yid	yih
jrb	yud
zho	yue
zap	zaa
zap	zab
zap	zac
zap	zad
zap	zae
zap	zaf
zap	zai
zap	zam
zap	zao
zap	zaq
zap	zar
zap	zas
zap	zat
zap	zav
zap	zaw
zap	zax
zap	zca
zha	zch
zha	zeh
zha	zgb
zha	zgm
zha	zgn
zha	zhd
zha	zhn
zha	zlj
msa	zlm
zha	zln
zha	zlq
msa	zmi
zap	zoo
zap	zpa
zap	zpb
zap	zpc
zap	zpd
zap	zpe
zap	zpf
zap	zpg
zap	zph
zap	zpi
zap	zpj
zap	zpk
zap	zpl
zap	zpm
zap	zpn
zap	zpo
zap	zpp
zap	zpq
zap	zpr
zap	zps
zap	zpt
zap	zpu
zap	zpv
zap	zpw
zap	zpx
zap	zpy
zap	zpz
zha	zqe
msa	zsm
zap	zsr
zap	ztc
zap	zte
zap	ztg
zap	ztl
zap	ztm
zap	ztn
zap	ztp
zap	ztq
zap	zts
zap	ztt
zap	ztu
zap	ztx
zap	zty
zha	zyb
zha	zyg
zha	zyj
zha	zyn
zha	zzj
